iter	Passed	Remaining
0	0	92
1	1	75
2	2	83
3	3	86
4	4	89
5	5	86
6	6	84
7	7	83
8	8	86
9	9	83
10	10	83
11	11	83
12	12	80
13	12	78
14	13	76
15	14	74
16	14	72
17	15	70
18	16	69
19	16	67
20	17	66
21	18	64
22	18	63
23	19	61
24	20	60
25	20	58
26	21	57
27	22	56
28	22	55
29	23	53
30	23	52
31	24	51
32	24	50
33	25	48
34	25	47
35	26	46
36	26	45
37	27	44
38	27	43
39	28	42
40	28	41
41	28	39
42	29	38
43	29	37
44	30	36
45	30	36
46	31	35
47	31	34
48	32	33
49	32	32
50	33	31
51	33	31
52	34	30
53	34	29
54	34	28
55	35	27
56	35	27
57	36	26
58	36	25
59	37	24
60	37	24
61	38	23
62	38	22
63	39	22
64	39	21
65	40	20
66	40	20
67	41	19
68	41	18
69	42	18
70	42	17
71	43	16
72	44	16
73	44	15
74	45	15
75	45	14
76	46	13
77	47	13
78	47	12
79	48	12
80	48	11
81	49	10
82	49	10
83	50	9
84	50	8
85	51	8
86	51	7
87	52	7
88	52	6
89	53	5
90	53	5
91	54	4
92	54	4
93	55	3
94	55	2
95	56	2
96	56	1
97	57	1
98	57	0
99	57	0
