iter	Passed	Remaining
0	115	115307
1	117	58456
2	119	39676
3	120	29962
4	122	24283
5	123	20443
6	125	17742
7	126	15745
8	129	14288
9	131	13051
10	133	12032
11	135	11160
12	136	10371
13	137	9707
14	139	9133
15	140	8629
16	141	8156
17	142	7752
18	143	7405
19	144	7083
20	145	6792
21	146	6518
22	147	6270
23	148	6036
24	149	5822
25	150	5625
26	151	5449
27	151	5275
28	152	5113
29	153	4965
30	154	4822
31	155	4691
32	155	4566
33	156	4452
34	157	4344
35	158	4241
36	159	4148
37	160	4055
38	160	3962
39	161	3878
40	162	3797
41	162	3716
42	163	3640
43	164	3567
44	164	3496
45	165	3430
46	165	3365
47	166	3305
48	167	3246
49	167	3190
50	168	3135
51	169	3082
52	169	3031
53	170	2982
54	170	2935
55	171	2890
56	172	2846
57	173	2810
58	173	2772
59	174	2734
60	175	2696
61	175	2658
62	176	2621
63	176	2585
64	177	2551
65	177	2517
66	178	2484
67	178	2452
68	179	2422
69	180	2392
70	180	2364
71	181	2336
72	181	2311
73	182	2285
74	183	2260
75	183	2234
76	184	2210
77	185	2187
78	185	2163
79	186	2142
80	187	2124
81	188	2108
82	188	2085
83	189	2065
84	190	2045
85	190	2025
86	191	2007
87	191	1988
88	192	1969
89	192	1950
90	193	1932
91	193	1914
92	194	1897
93	195	1882
94	195	1865
95	196	1849
96	196	1833
97	197	1818
98	198	1803
99	198	1788
100	199	1774
101	199	1760
102	200	1746
103	201	1734
104	202	1728
105	203	1716
106	204	1704
107	204	1691
108	205	1679
109	206	1666
110	206	1654
111	207	1643
112	207	1631
113	208	1620
114	209	1608
115	209	1597
116	210	1584
117	210	1574
118	211	1564
119	211	1553
120	212	1543
121	212	1532
122	213	1522
123	214	1512
124	214	1503
125	215	1493
126	215	1483
127	216	1474
128	217	1466
129	218	1459
130	218	1450
131	219	1442
132	219	1433
133	220	1427
134	221	1420
135	222	1411
136	222	1403
137	223	1394
138	223	1386
139	224	1378
140	225	1370
141	225	1362
142	226	1355
143	226	1348
144	227	1340
145	227	1333
146	228	1326
147	229	1320
148	230	1313
149	230	1306
150	231	1301
151	232	1294
152	232	1287
153	233	1281
154	234	1275
155	234	1270
156	235	1266
157	236	1261
158	237	1255
159	238	1250
160	238	1243
161	239	1237
162	239	1231
163	240	1227
164	241	1222
165	242	1218
166	243	1216
167	245	1213
168	246	1209
169	247	1207
170	248	1202
171	248	1197
172	249	1192
173	250	1188
174	251	1184
175	251	1179
176	253	1176
177	254	1173
178	254	1169
179	255	1165
180	256	1161
181	258	1161
182	260	1161
183	261	1158
184	262	1154
185	262	1150
186	263	1147
187	265	1144
188	266	1142
189	267	1138
190	268	1135
191	269	1132
192	269	1128
193	270	1124
194	274	1134
195	276	1132
196	276	1128
197	278	1126
198	278	1122
199	279	1119
200	280	1115
201	281	1112
202	282	1109
203	283	1105
204	284	1102
205	285	1098
206	285	1095
207	287	1094
208	288	1092
209	289	1089
210	290	1086
211	291	1083
212	292	1080
213	293	1077
214	294	1074
215	295	1072
216	296	1071
217	297	1068
218	298	1065
219	299	1062
220	300	1060
221	302	1059
222	303	1058
223	304	1056
224	305	1053
225	306	1050
226	307	1048
227	309	1046
228	310	1044
229	310	1040
230	311	1037
231	312	1035
232	313	1031
233	314	1028
234	314	1024
235	315	1021
236	316	1018
237	317	1016
238	318	1013
239	319	1010
240	319	1007
241	320	1004
242	321	1001
243	322	998
244	323	995
245	323	992
246	324	988
247	325	985
248	325	982
249	326	978
250	326	975
251	327	971
252	328	968
253	329	966
254	329	963
255	330	960
256	331	957
257	331	954
258	332	950
259	332	947
260	333	944
261	334	941
262	334	938
263	335	935
264	336	932
265	336	929
266	337	926
267	337	922
268	338	919
269	338	916
270	339	913
271	340	910
272	340	907
273	341	905
274	342	902
275	343	900
276	344	897
277	344	895
278	345	892
279	346	889
280	346	886
281	347	883
282	347	881
283	348	878
284	348	875
285	349	872
286	350	869
287	350	866
288	351	864
289	351	861
290	352	859
291	353	856
292	353	853
293	354	851
294	355	848
295	355	845
296	356	843
297	356	840
298	357	838
299	358	836
300	359	834
301	359	831
302	360	829
303	361	826
304	361	824
305	362	821
306	362	819
307	363	816
308	364	814
309	364	811
310	365	809
311	365	806
312	366	804
313	366	801
314	367	799
315	368	796
316	368	794
317	369	791
318	369	789
319	370	787
320	370	784
321	371	782
322	372	780
323	372	778
324	373	776
325	374	774
326	375	772
327	375	769
328	376	767
329	376	765
330	377	762
331	377	760
332	378	758
333	379	755
334	379	753
335	380	751
336	380	749
337	381	746
338	381	744
339	382	742
340	383	740
341	383	738
342	384	735
343	384	733
344	385	731
345	385	729
346	386	727
347	387	725
348	388	724
349	389	723
350	390	721
351	390	719
352	391	717
353	391	715
354	392	713
355	393	711
356	394	709
357	394	708
358	395	706
359	396	704
360	396	702
361	397	700
362	398	698
363	398	696
364	399	695
365	400	693
366	400	691
367	401	690
368	403	689
369	403	687
370	404	686
371	405	684
372	406	682
373	406	680
374	407	678
375	408	677
376	408	675
377	409	673
378	409	671
379	410	669
380	411	668
381	411	666
382	412	664
383	413	662
384	413	660
385	414	659
386	415	657
387	415	655
388	416	654
389	417	652
390	418	651
391	419	650
392	420	648
393	420	647
394	421	645
395	422	644
396	423	643
397	424	641
398	424	639
399	425	638
400	426	636
401	426	634
402	427	633
403	428	631
404	428	629
405	429	628
406	429	626
407	430	624
408	431	623
409	432	622
410	433	620
411	434	619
412	435	618
413	435	616
414	436	614
415	436	613
416	437	611
417	438	610
418	438	608
419	439	606
420	440	605
421	440	603
422	441	601
423	441	600
424	442	598
425	443	597
426	444	596
427	445	594
428	445	593
429	448	594
430	450	595
431	451	593
432	452	592
433	453	591
434	455	591
435	456	589
436	457	589
437	458	587
438	459	586
439	459	585
440	460	583
441	461	582
442	462	581
443	463	580
444	464	579
445	465	577
446	466	576
447	466	574
448	467	573
449	467	571
450	468	570
451	468	568
452	469	566
453	470	565
454	470	563
455	471	562
456	472	560
457	472	559
458	473	557
459	473	556
460	474	554
461	475	553
462	476	552
463	477	551
464	478	550
465	478	548
466	479	547
467	480	545
468	480	544
469	481	542
470	482	541
471	482	540
472	483	539
473	484	538
474	485	536
475	486	535
476	486	533
477	487	532
478	488	531
479	488	529
480	489	528
481	490	526
482	490	525
483	491	524
484	492	522
485	493	521
486	493	519
487	494	518
488	495	517
489	495	516
490	496	514
491	497	513
492	497	511
493	498	510
494	498	508
495	499	507
496	499	505
497	500	504
498	500	502
499	501	501
500	502	500
501	502	498
502	503	497
503	503	495
504	504	494
505	504	492
506	505	491
507	506	490
508	506	488
509	507	487
510	508	486
511	508	484
512	509	483
513	510	482
514	510	480
515	511	479
516	512	478
517	512	477
518	513	475
519	514	474
520	514	473
521	515	471
522	515	470
523	516	469
524	517	467
525	517	466
526	518	465
527	518	463
528	519	462
529	519	461
530	520	460
531	521	458
532	522	457
533	523	456
534	523	455
535	524	454
536	525	452
537	525	451
538	526	450
539	527	449
540	527	447
541	528	446
542	529	445
543	529	443
544	530	442
545	530	441
546	531	440
547	532	438
548	532	437
549	533	436
550	534	435
551	534	433
552	535	433
553	536	432
554	537	430
555	538	429
556	538	428
557	539	427
558	540	426
559	540	424
560	541	423
561	541	422
562	542	420
563	542	419
564	543	418
565	544	417
566	544	415
567	545	414
568	545	413
569	546	412
570	547	410
571	547	409
572	548	408
573	548	407
574	549	406
575	550	405
576	551	404
577	552	403
578	552	401
579	553	400
580	553	399
581	554	398
582	554	396
583	555	395
584	556	394
585	556	393
586	557	392
587	557	390
588	558	389
589	559	388
590	559	387
591	560	386
592	560	384
593	561	383
594	561	382
595	562	381
596	563	380
597	563	378
598	564	377
599	565	376
600	566	375
601	566	374
602	567	373
603	568	372
604	568	371
605	569	370
606	570	369
607	570	367
608	571	366
609	571	365
610	572	364
611	572	363
612	573	362
613	574	360
614	574	359
615	575	358
616	575	357
617	576	356
618	577	355
619	577	354
620	578	352
621	578	351
622	579	350
623	580	349
624	581	348
625	582	348
626	583	347
627	584	346
628	585	345
629	585	344
630	586	343
631	587	341
632	587	340
633	588	339
634	589	338
635	589	337
636	590	336
637	591	335
638	591	334
639	592	333
640	592	332
641	593	330
642	594	329
643	595	328
644	596	328
645	596	327
646	597	325
647	598	324
648	598	323
649	599	322
650	599	321
651	600	320
652	601	319
653	601	318
654	602	317
655	602	316
656	603	315
657	604	314
658	604	312
659	605	311
660	605	310
661	606	309
662	607	308
663	607	307
664	608	306
665	609	305
666	610	304
667	610	303
668	611	302
669	612	301
670	612	300
671	613	299
672	613	298
673	614	297
674	615	296
675	615	295
676	616	294
677	616	292
678	617	291
679	618	290
680	618	289
681	619	288
682	619	287
683	620	286
684	621	285
685	621	284
686	622	283
687	622	282
688	623	281
689	624	280
690	625	279
691	626	278
692	626	277
693	628	276
694	628	275
695	629	274
696	630	273
697	630	272
698	631	271
699	631	270
700	632	269
701	632	268
702	633	267
703	634	266
704	634	265
705	635	264
706	635	263
707	636	262
708	636	261
709	637	260
710	638	259
711	638	258
712	639	257
713	640	256
714	641	255
715	642	254
716	643	253
717	644	253
718	644	251
719	645	250
720	645	249
721	646	248
722	647	247
723	647	246
724	648	245
725	649	244
726	649	244
727	650	243
728	650	241
729	651	241
730	652	240
731	653	239
732	654	238
733	654	237
734	655	236
735	656	235
736	656	234
737	657	233
738	657	232
739	658	231
740	659	230
741	659	229
742	660	228
743	660	227
744	661	226
745	661	225
746	662	224
747	662	223
748	663	222
749	663	221
750	664	220
751	664	219
752	665	218
753	665	217
754	666	216
755	667	215
756	667	214
757	668	213
758	669	212
759	669	211
760	670	210
761	671	209
762	671	208
763	672	207
764	672	206
765	673	205
766	673	204
767	674	203
768	674	202
769	675	201
770	675	200
771	676	199
772	676	198
773	677	197
774	678	196
775	678	195
776	679	194
777	679	193
778	680	192
779	680	191
780	681	190
781	681	189
782	682	189
783	682	188
784	683	187
785	683	186
786	684	185
787	685	184
788	686	183
789	686	182
790	687	181
791	687	180
792	688	179
793	689	178
794	689	177
795	690	176
796	690	175
797	691	174
798	691	174
799	692	173
800	692	172
801	693	171
802	694	170
803	694	169
804	695	168
805	695	167
806	696	166
807	696	165
808	697	164
809	698	163
810	698	162
811	699	162
812	700	161
813	701	160
814	701	159
815	702	158
816	702	157
817	703	156
818	704	155
819	705	154
820	705	153
821	706	152
822	706	152
823	707	151
824	707	150
825	708	149
826	709	148
827	709	147
828	710	146
829	710	145
830	711	144
831	711	143
832	712	142
833	713	141
834	713	141
835	714	140
836	715	139
837	716	138
838	717	137
839	718	136
840	718	135
841	719	135
842	720	134
843	720	133
844	721	132
845	721	131
846	722	130
847	723	129
848	723	128
849	724	127
850	724	126
851	725	126
852	726	125
853	726	124
854	727	123
855	727	122
856	728	121
857	729	120
858	730	119
859	730	118
860	731	118
861	732	117
862	732	116
863	733	115
864	734	114
865	734	113
866	735	112
867	736	111
868	736	111
869	737	110
870	737	109
871	738	108
872	738	107
